1/10                     1/10 -1.734046e-02
superman             superman -4.317575e-03
stomach               stomach -4.289169e-03
dollars               dollars -4.252278e-03
guys                     guys -4.246146e-03
yes                       yes -4.238928e-03
pay                       pay -4.236956e-03
okay                     okay -4.227283e-03
rating                 rating -4.206125e-03
15                         15 -4.195547e-03
just                     just -4.193406e-03
disgusting         disgusting -4.191590e-03
theater               theater -4.190100e-03
brain                   brain -4.189230e-03
wish                     wish -4.182430e-03
kid                       kid -4.179041e-03
minutes               minutes -4.169530e-03
movie                   movie -4.135958e-03
knew                     knew -4.125759e-03
wanted                 wanted -4.113795e-03
low                       low -4.083639e-03
shocked               shocked -4.080310e-03
amateur               amateur -4.066643e-03
sounded               sounded -4.065031e-03
slasher               slasher -4.055650e-03
check                   check -4.050409e-03
anything             anything -4.026512e-03
anyway                 anyway -3.997745e-03
scary                   scary -3.993454e-03
wondering           wondering -3.991326e-03
2                           2 -3.963152e-03
gay                       gay -3.953648e-03
13                         13 -3.944700e-03
can't                   can't -3.918110e-03
trailer               trailer -3.908309e-03
say                       say -3.899373e-03
somewhere           somewhere -3.885927e-03
what's                 what's -3.885644e-03
got                       got -3.871501e-03
glad                     glad -3.869941e-03
poorly                 poorly -3.858898e-03
1                           1 -3.848732e-03
gore                     gore -3.829218e-03
kids                     kids -3.814176e-03
25                         25 -3.813461e-03
laughable           laughable -3.804137e-03
looked                 looked -3.795183e-03
folks                   folks -3.779378e-03
boring                 boring -3.732930e-03
haven't               haven't -3.730588e-03
anyone                 anyone -3.727662e-03
cheesy                 cheesy -3.685237e-03
grade                   grade -3.676740e-03
nonsense             nonsense -3.644242e-03
i've                     i've -3.639583e-03
sitting               sitting -3.631819e-03
mildly                 mildly -3.626075e-03
freddy                 freddy -3.608415e-03
6                           6 -3.605715e-03
remember             remember -3.604505e-03
teen                     teen -3.575732e-03
shoot                   shoot -3.574254e-03
wasted                 wasted -3.529555e-03
bothered             bothered -3.522256e-03
explain               explain -3.508430e-03
call                     call -3.502848e-03
stick                   stick -3.499013e-03
dollar                 dollar -3.495375e-03
going                   going -3.486654e-03
rip                       rip -3.462499e-03
disappointed     disappointed -3.423481e-03
promise               promise -3.407735e-03
happened             happened -3.386913e-03
sure                     sure -3.380051e-03
try                       try -3.362601e-03
realized             realized -3.354546e-03
zombie                 zombie -3.326345e-03
bored                   bored -3.321336e-03
budget                 budget -3.292848e-03
that's                 that's -3.292563e-03
network               network -3.278149e-03
saw                       saw -3.262237e-03
ugly                     ugly -3.259675e-03
seemed                 seemed -3.253887e-03
spent                   spent -3.246239e-03
summary               summary -3.246060e-03
poor                     poor -3.241114e-03
mess                     mess -3.221054e-03
weekend               weekend -3.200175e-03
embarrassing     embarrassing -3.182915e-03
talking               talking -3.176378e-03
drunk                   drunk -3.174816e-03
felt                     felt -3.163999e-03
unfunny               unfunny -3.145740e-03
reading               reading -3.136585e-03
plain                   plain -3.127146e-03
something           something -3.113622e-03
seconds               seconds -3.094979e-03
walking               walking -3.090531e-03
ain't                   ain't -3.077597e-03
holes                   holes -3.067350e-03
won't                   won't -3.063330e-03
indie                   indie -3.043004e-03
copy                     copy -3.041932e-03
teens                   teens -3.036504e-03
rated                   rated -3.030535e-03
god                       god -3.003268e-03
walk                     walk -3.001568e-03
warning               warning -2.995813e-03
trust                   trust -2.994313e-03
flick                   flick -2.971077e-03
anybody               anybody -2.962799e-03
flicks                 flicks -2.954499e-03
badly                   badly -2.907242e-03
thing                   thing -2.886972e-03
believe               believe -2.885378e-03
eat                       eat -2.872449e-03
loud                     loud -2.862137e-03
sleep                   sleep -2.847829e-03
do                         do -2.841099e-03
10                         10 -2.838262e-03
understand         understand -2.836437e-03
entertained       entertained -2.824487e-03
decide                 decide -2.824352e-03
went                     went -2.810547e-03
like                     like -2.800426e-03
wonder                 wonder -2.787958e-03
else                     else -2.787289e-03
stopped               stopped -2.786928e-03
dreadful             dreadful -2.783416e-03
then                     then -2.777416e-03
cgi                       cgi -2.769143e-03
buying                 buying -2.768788e-03
p                           p -2.759395e-03
cover                   cover -2.751959e-03
ridiculous         ridiculous -2.751475e-03
blame                   blame -2.735462e-03
weren't               weren't -2.727544e-03
warned                 warned -2.718514e-03
store                   store -2.714942e-03
spoof                   spoof -2.714551e-03
4                           4 -2.696630e-03
keaton                 keaton -2.661132e-03
favor                   favor -2.641335e-03
scares                 scares -2.639172e-03
bear                     bear -2.633038e-03
answer                 answer -2.597093e-03
amazed                 amazed -2.584384e-03
weird                   weird -2.583427e-03
produce               produce -2.566148e-03
weeks                   weeks -2.560284e-03
nothing               nothing -2.557009e-03
asking                 asking -2.554109e-03
give                     give -2.549298e-03
kick                     kick -2.542605e-03
offensive           offensive -2.532024e-03
3                           3 -2.525541e-03
so                         so -2.524244e-03
jokes                   jokes -2.521101e-03
whatever             whatever -2.514792e-03
actually             actually -2.513715e-03
bore                     bore -2.512650e-03
get                       get -2.506952e-03
make                     make -2.500903e-03
whenever             whenever -2.500247e-03
tried                   tried -2.499094e-03
cheap                   cheap -2.484036e-03
stop                     stop -2.444914e-03
idea                     idea -2.435173e-03
there's               there's -2.432703e-03
started               started -2.419843e-03
surprised           surprised -2.407797e-03
cars                     cars -2.400296e-03
forget                 forget -2.366136e-03
shouldn't           shouldn't -2.362473e-03
noticed               noticed -2.356557e-03
mom                       mom -2.352816e-03
care                     care -2.346810e-03
need                     need -2.337984e-03
expectations     expectations -2.332971e-03
least                   least -2.328693e-03
would                   would -2.302274e-03
hour                     hour -2.301392e-03
no                         no -2.298141e-03
finished             finished -2.293438e-03
people                 people -2.283553e-03
crash                   crash -2.280600e-03
crazy                   crazy -2.272637e-03
should                 should -2.253541e-03
funny                   funny -2.240722e-03
utter                   utter -2.237736e-03
20                         20 -2.227880e-03
because               because -2.223998e-03
heard                   heard -2.220051e-03
pain                     pain -2.218415e-03
80                         80 -2.204367e-03
reason                 reason -2.194145e-03
did                       did -2.193880e-03
aliens                 aliens -2.184155e-03
imagine               imagine -2.174495e-03
expect                 expect -2.146502e-03
doing                   doing -2.142342e-03
they're               they're -2.128509e-03
pull                     pull -2.121914e-03
total                   total -2.090872e-03
f                           f -2.087206e-03
go                         go -2.056004e-03
sports                 sports -2.049409e-03
hear                     hear -2.043712e-03
naked                   naked -2.039659e-03
ever                     ever -2.036072e-03
mistake               mistake -2.031520e-03
fan                       fan -2.008674e-03
how                       how -2.007094e-03
trying                 trying -1.976617e-03
could                   could -1.975773e-03
hot                       hot -1.961022e-03
annoying             annoying -1.956634e-03
spoiler               spoiler -1.939019e-03
sake                     sake -1.937479e-03
really                 really -1.903971e-03
scientist           scientist -1.896048e-03
eating                 eating -1.883898e-03
pick                     pick -1.883125e-03
turkey                 turkey -1.869505e-03
phone                   phone -1.861689e-03
football             football -1.849829e-03
or                         or -1.847257e-03
hadn't                 hadn't -1.839818e-03
liked                   liked -1.818179e-03
skin                     skin -1.807380e-03
super                   super -1.797324e-03
crude                   crude -1.793673e-03
apparently         apparently -1.790699e-03
painful               painful -1.772227e-03
it                         it -1.767295e-03
so-called           so-called -1.754075e-03
describe             describe -1.742337e-03
vampire               vampire -1.741226e-03
category             category -1.733392e-03
was                       was -1.705370e-03
30                         30 -1.703656e-03
pulled                 pulled -1.700798e-03
college               college -1.696775e-03
saturday             saturday -1.689736e-03
talk                     talk -1.677848e-03
stayed                 stayed -1.641537e-03
horror                 horror -1.633681e-03
lazy                     lazy -1.616014e-03
taste                   taste -1.613876e-03
manage                 manage -1.611084e-03
kept                     kept -1.598020e-03
bank                     bank -1.595582e-03
demon                   demon -1.592913e-03
die                       die -1.569364e-03
experiment         experiment -1.564291e-03
they                     they -1.564165e-03
what                     what -1.561586e-03
ran                       ran -1.554863e-03
even                     even -1.525042e-03
trick                   trick -1.522302e-03
see                       see -1.522228e-03
nobody                 nobody -1.520700e-03
sex                       sex -1.515562e-03
prove                   prove -1.493679e-03
reviewer             reviewer -1.470649e-03
mistakes             mistakes -1.459597e-03
mention               mention -1.457044e-03
enjoy                   enjoy -1.455625e-03
s                           s -1.405025e-03
exist                   exist -1.400820e-03
absolutely         absolutely -1.392711e-03
either                 either -1.383980e-03
realize               realize -1.381248e-03
this                     this -1.377722e-03
girls                   girls -1.357932e-03
computer             computer -1.354230e-03
hours                   hours -1.323811e-03
screening           screening -1.319500e-03
agree                   agree -1.317208e-03
lynch                   lynch -1.315312e-03
said                     said -1.310568e-03
decent                 decent -1.298957e-03
recommend           recommend -1.298830e-03
somehow               somehow -1.288852e-03
afraid                 afraid -1.282972e-03
explanation       explanation -1.282166e-03
regret                 regret -1.281854e-03
gave                     gave -1.281009e-03
save                     save -1.279845e-03
listen                 listen -1.272958e-03
single                 single -1.265187e-03
k                           k -1.259844e-03
smile                   smile -1.246912e-03
cage                     cage -1.223148e-03
minute                 minute -1.221578e-03
can                       can -1.189041e-03
failed                 failed -1.188063e-03
hope                     hope -1.181521e-03
logic                   logic -1.174158e-03
finish                 finish -1.172396e-03
seen                     seen -1.170460e-03
ago                       ago -1.168810e-03
calling               calling -1.166772e-03
safe                     safe -1.166306e-03
sad                       sad -1.160453e-03
cause                   cause -1.158244e-03
happens               happens -1.158127e-03
laughs                 laughs -1.158011e-03
tedious               tedious -1.150999e-03
suggest               suggest -1.142574e-03
have                     have -1.139081e-03
shut                     shut -1.135653e-03
choose                 choose -1.131605e-03
7                           7 -1.131259e-03
makers                 makers -1.128435e-03
types                   types -1.128153e-03
list                     list -1.125714e-03
sign                     sign -1.095025e-03
bottom                 bottom -1.080398e-03
stuck                   stuck -1.079156e-03
word                     word -1.063955e-03
nowhere               nowhere -1.059503e-03
eddie                   eddie -1.057131e-03
looking               looking -1.040409e-03
school                 school -1.031642e-03
notice                 notice -1.014933e-03
painfully           painfully -1.014028e-03
start                   start -1.012390e-03
cash                     cash -1.007412e-03
uninteresting   uninteresting -1.004135e-03
instead               instead -9.827338e-04
friday                 friday -9.754210e-04
paying                 paying -9.748597e-04
any                       any -9.738521e-04
stay                     stay -9.717108e-04
halloween           halloween -9.675319e-04
teeth                   teeth -9.645490e-04
mind                     mind -9.640634e-04
break                   break -9.543082e-04
there                   there -9.352409e-04
test                     test -9.327788e-04
cop                       cop -9.228919e-04
shame                   shame -9.165162e-04
reviewers           reviewers -9.157056e-04
b-movie               b-movie -9.032994e-04
anywhere             anywhere -8.830354e-04
kind                     kind -8.794483e-04
sarah                   sarah -8.686777e-04
pretentious       pretentious -8.557248e-04
explained           explained -8.489291e-04
we're                   we're -8.381466e-04
sort                     sort -8.195896e-04
million               million -7.877917e-04
spoil                   spoil -7.843177e-04
8                           8 -7.839062e-04
thinks                 thinks -7.837291e-04
that                     that -7.785892e-04
endless               endless -7.691400e-04
lot                       lot -7.667357e-04
cool                     cool -7.563105e-04
premise               premise -7.547197e-04
12                         12 -7.472531e-04
corny                   corny -7.461567e-04
meant                   meant -7.313658e-04
person                 person -7.186627e-04
car                       car -7.086515e-04
turned                 turned -7.008628e-04
dry                       dry -6.983846e-04
picked                 picked -6.892808e-04
pass                     pass -6.885391e-04
now                       now -6.856575e-04
might                   might -6.635759e-04
ignore                 ignore -6.619537e-04
etc                       etc -6.394205e-04
read                     read -6.381286e-04
everybody           everybody -6.305884e-04
wearing               wearing -6.266529e-04
be                         be -6.159999e-04
they've               they've -6.033601e-04
curious               curious -6.025526e-04
mouth                   mouth -5.888379e-04
dozen                   dozen -5.612135e-04
thrown                 thrown -5.536943e-04
paint                   paint -5.423103e-04
friends               friends -5.393488e-04
roll                     roll -5.359585e-04
getting               getting -5.224755e-04
asked                   asked -5.220851e-04
forward               forward -4.747885e-04
aren't                 aren't -4.742995e-04
drag                     drag -4.621583e-04
off                       off -4.557052e-04
steven                 steven -4.547123e-04
risk                     risk -4.546405e-04
clips                   clips -4.422639e-04
14                         14 -4.367140e-04
listening           listening -4.349496e-04
forgettable       forgettable -4.279590e-04
spoilers             spoilers -4.247002e-04
producers           producers -4.218659e-04
had                       had -4.208878e-04
vhs                       vhs -4.154765e-04
angry                   angry -4.115035e-04
smart                   smart -4.091420e-04
already               already -3.986073e-04
legs                     legs -3.931135e-04
acting                 acting -3.815135e-04
wanting               wanting -3.613696e-04
freeman               freeman -3.585566e-04
come                     come -3.515397e-04
throwing             throwing -3.510596e-04
every                   every -3.488718e-04
tired                   tired -3.479786e-04
feel                     feel -3.462244e-04
everyone             everyone -3.293321e-04
negative             negative -3.187668e-04
topic                   topic -3.185244e-04
disaster             disaster -3.106663e-04
cares                   cares -3.080387e-04
twist                   twist -3.062950e-04
about                   about -2.860820e-04
predictable       predictable -2.824525e-04
quick                   quick -2.784892e-04
ruined                 ruined -2.706904e-04
afternoon           afternoon -2.663196e-04
happening           happening -2.647797e-04
we've                   we've -2.628497e-04
twice                   twice -2.529498e-04
showed                 showed -2.393938e-04
them                     them -2.227101e-04
dead                     dead -2.220446e-04
site                     site -2.083074e-04
shower                 shower -2.079160e-04
drugs                   drugs -2.064209e-04
stereotypes       stereotypes -2.034576e-04
shock                   shock -1.981214e-04
writing               writing -1.748443e-04
confusing           confusing -1.746658e-04
theatre               theatre -1.678252e-04
unnecessary       unnecessary -1.645317e-04
blow                     blow -1.627324e-04
walks                   walks -1.287187e-04
monster               monster -1.285216e-04
michelle             michelle -1.233945e-04
add                       add -1.062435e-04
out                       out -9.206072e-05
he'd                     he'd -8.362853e-05
everywhere         everywhere -8.181831e-05
inept                   inept -8.130646e-05
feet                     feet -7.564961e-05
seeing                 seeing -6.690672e-05
hearing               hearing -5.539849e-05
ten                       ten -4.644921e-05
head                     head -3.979066e-05
spend                   spend -3.374249e-05
came                     came -3.251747e-05
granted               granted -2.637210e-05
piece                   piece -2.448203e-05
ready                   ready -1.929154e-05
were                     were -1.667575e-05
enough                 enough -1.044327e-05
right                   right -7.712057e-06
ron                       ron -7.370499e-06
lifetime             lifetime -6.818853e-06
gotten                 gotten -3.516896e-06
cut                       cut  1.216468e-06
things                 things  3.347851e-06
huge                     huge  1.608521e-05
blair                   blair  1.943173e-05
dvd                       dvd  2.854685e-05
none                     none  2.870956e-05
except                 except  3.945448e-05
alas                     alas  4.295127e-05
amateurish         amateurish  4.687955e-05
kill                     kill  4.862239e-05
100                       100  5.345057e-05
straight             straight  5.921935e-05
accents               accents  6.189659e-05
proper                 proper  6.373434e-05
expected             expected  7.497979e-05
box                       box  7.861055e-05
pretty                 pretty  8.285390e-05
door                     door  9.171792e-05
soap                     soap  1.090132e-04
50                         50  1.102602e-04
says                     says  1.170317e-04
raise                   raise  1.191487e-04
wood                     wood  1.199756e-04
grave                   grave  1.447992e-04
supposedly         supposedly  1.526948e-04
killer                 killer  1.549672e-04
again                   again  1.587839e-04
exact                   exact  1.810068e-04
managed               managed  2.102733e-04
blood                   blood  2.107421e-04
utterly               utterly  2.235691e-04
totally               totally  2.329083e-04
term                     term  2.476571e-04
fill                     fill  2.592314e-04
hard                     hard  2.628733e-04
those                   those  2.667885e-04
begin                   begin  2.683812e-04
bland                   bland  2.761140e-04
chose                   chose  2.764567e-04
purpose               purpose  2.793182e-04
stereotypical   stereotypical  2.856634e-04
driving               driving  2.915546e-04
isn't                   isn't  2.992774e-04
will                     will  3.026155e-04
took                     took  3.027626e-04
probably             probably  3.033481e-04
take                     take  3.108082e-04
catch                   catch  3.141694e-04
twisted               twisted  3.159673e-04
made                     made  3.200696e-04
directing           directing  3.233384e-04
cutting               cutting  3.272742e-04
learn                   learn  3.312320e-04
christian           christian  3.324760e-04
scenario             scenario  3.327556e-04
type                     type  3.389556e-04
gory                     gory  3.498685e-04
fail                     fail  3.545937e-04
contrived           contrived  3.552168e-04
next                     next  3.598726e-04
teenagers           teenagers  3.632935e-04
name                     name  3.697144e-04
put                       put  3.708387e-04
find                     find  3.854572e-04
till                     till  3.923646e-04
talks                   talks  4.053646e-04
bus                       bus  4.124866e-04
boyfriend           boyfriend  4.319292e-04
silly                   silly  4.340656e-04
dull                     dull  4.426970e-04
ruin                     ruin  4.429184e-04
accidentally     accidentally  4.476916e-04
five                     five  4.554518e-04
campy                   campy  4.563536e-04
sold                     sold  4.615501e-04
better                 better  4.642777e-04
ed                         ed  4.782829e-04
unconvincing     unconvincing  4.796632e-04
animal                 animal  4.846867e-04
tv                         tv  4.991376e-04
jail                     jail  5.201311e-04
average               average  5.210469e-04
it's                     it's  5.268982e-04
half                     half  5.279241e-04
floor                   floor  5.281523e-04
cry                       cry  5.301351e-04
back                     back  5.400967e-04
killing               killing  5.438651e-04
nudity                 nudity  5.462385e-04
parody                 parody  5.566666e-04
suddenly             suddenly  5.608092e-04
completely         completely  5.646601e-04
up                         up  5.712175e-04
basically           basically  5.837026e-04
handle                 handle  5.856739e-04
4/10                     4/10  5.960375e-04
chance                 chance  5.965957e-04
proud                   proud  6.168671e-04
graphics             graphics  6.187913e-04
project               project  6.204368e-04
low-budget         low-budget  6.209521e-04
scale                   scale  6.214609e-04
bed                       bed  6.221270e-04
ladies                 ladies  6.262722e-04
80s                       80s  6.353846e-04
never                   never  6.393413e-04
months                 months  6.451061e-04
teacher               teacher  6.462010e-04
show                     show  6.540332e-04
usually               usually  6.565126e-04
field                   field  6.641085e-04
desperately       desperately  6.729304e-04
possibly             possibly  6.737839e-04
personally         personally  6.917706e-04
relate                 relate  6.926666e-04
teenager             teenager  6.928360e-04
everything         everything  6.988602e-04
some                     some  6.990780e-04
11                         11  7.062078e-04
cost                     cost  7.091600e-04
throws                 throws  7.240565e-04
park                     park  7.267931e-04
learned               learned  7.305954e-04
bomb                     bomb  7.352602e-04
reasons               reasons  7.365519e-04
prepared             prepared  7.391730e-04
sense                   sense  7.419504e-04
attacked             attacked  7.445181e-04
reference           reference  7.568635e-04
dressed               dressed  7.710848e-04
nightmare           nightmare  7.725565e-04
x                           x  7.739702e-04
beyond                 beyond  7.765620e-04
normally             normally  7.776917e-04
look                     look  7.788560e-04
must                     must  7.883501e-04
called                 called  7.905981e-04
students             students  8.014107e-04
making                 making  8.068536e-04
found                   found  8.167352e-04
eyes                     eyes  8.294830e-04
missed                 missed  8.462616e-04
writers               writers  8.467265e-04
tree                     tree  8.476478e-04
barely                 barely  8.483025e-04
convince             convince  8.528863e-04
kinds                   kinds  8.623727e-04
matter                 matter  8.655394e-04
entertain           entertain  8.655860e-04
onto                     onto  8.689182e-04
terribly             terribly  8.725034e-04
train                   train  8.772664e-04
respect               respect  8.777645e-04
parents               parents  8.784067e-04
goofy                   goofy  8.827741e-04
destroy               destroy  8.893197e-04
ben                       ben  8.988758e-04
heads                   heads  9.019288e-04
70                         70  9.033992e-04
big                       big  9.128750e-04
credit                 credit  9.386394e-04
lucky                   lucky  9.457326e-04
doubt                   doubt  9.463060e-04
obnoxious           obnoxious  9.468484e-04
sorts                   sorts  9.470554e-04
consider             consider  9.480408e-04
wrote                   wrote  9.517050e-04
possible             possible  9.554306e-04
words                   words  9.606561e-04
around                 around  9.705403e-04
giving                 giving  9.815369e-04
laughter             laughter  9.825965e-04
credits               credits  9.836218e-04
unfortunate       unfortunate  9.838508e-04
keep                     keep  9.938760e-04
touched               touched  1.005785e-03
plot                     plot  1.011607e-03
racist                 racist  1.018266e-03
nowadays             nowadays  1.032783e-03
flat                     flat  1.033523e-03
holding               holding  1.036083e-03
belief                 belief  1.048146e-03
enjoyed               enjoyed  1.054737e-03
gone                     gone  1.056803e-03
17                         17  1.068647e-03
mediocre             mediocre  1.070711e-03
fails                   fails  1.072078e-03
away                     away  1.077122e-03
lower                   lower  1.077961e-03
honest                 honest  1.091463e-03
mine                     mine  1.091979e-03
2000                     2000  1.097670e-03
lines                   lines  1.098861e-03
script                 script  1.108665e-03
only                     only  1.122737e-03
effects               effects  1.123144e-03
these                   these  1.125023e-03
pleasure             pleasure  1.134747e-03
questions           questions  1.140543e-03
seat                     seat  1.142130e-03
likes                   likes  1.142153e-03
gruesome             gruesome  1.144893e-03
problem               problem  1.145205e-03
sell                     sell  1.147422e-03
grew                     grew  1.149785e-03
night                   night  1.150488e-03
downright           downright  1.154284e-03
exactly               exactly  1.159054e-03
hair                     hair  1.162697e-03
contain               contain  1.165082e-03
mad                       mad  1.168098e-03
free                     free  1.195313e-03
guns                     guns  1.198688e-03
obviously           obviously  1.200140e-03
passed                 passed  1.202034e-03
cartoons             cartoons  1.210718e-03
fun                       fun  1.219931e-03
effort                 effort  1.226240e-03
to                         to  1.233092e-03
complete             complete  1.235680e-03
one's                   one's  1.246176e-03
vacation             vacation  1.248326e-03
continuity         continuity  1.249406e-03
value                   value  1.252665e-03
all                       all  1.253919e-03
absolute             absolute  1.267071e-03
che                       che  1.267652e-03
few                       few  1.274159e-03
bloody                 bloody  1.280056e-03
rape                     rape  1.291901e-03
leave                   leave  1.293687e-03
fast                     fast  1.294580e-03
she's                   she's  1.302563e-03
convinced           convinced  1.313276e-03
texas                   texas  1.317571e-03
dialogue             dialogue  1.330794e-03
when                     when  1.339641e-03
baseball             baseball  1.343320e-03
likely                 likely  1.349095e-03
practically       practically  1.365861e-03
insane                 insane  1.366395e-03
tend                     tend  1.370999e-03
locked                 locked  1.372757e-03
who's                   who's  1.375212e-03
entire                 entire  1.377768e-03
whole                   whole  1.392113e-03
missing               missing  1.395246e-03
drew                     drew  1.395985e-03
werewolf             werewolf  1.398214e-03
shooting             shooting  1.403918e-03
ended                   ended  1.408477e-03
wooden                 wooden  1.423455e-03
comedy                 comedy  1.426243e-03
post                     post  1.437931e-03
on                         on  1.440108e-03
fact                     fact  1.441802e-03
substance           substance  1.443790e-03
levels                 levels  1.446370e-03
absurd                 absurd  1.446666e-03
cops                     cops  1.450537e-03
continue             continue  1.452571e-03
